Path,Size,Size (bytes),Modified
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E09.It.was.All.Worth.It.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.56 GiB,7048454932,2026-03-22T10:04:33.274178639-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E09.It.was.All.Worth.It.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.56 GiB,7048454932,2026-03-22T10:04:33.274178639-07:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E10.We.Need.a.Hero.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.46 GiB,6935980158,2026-03-22T10:07:34.245336354-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E10.We.Need.a.Hero.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.46 GiB,6935980158,2026-03-22T10:07:34.245336354-07:00
/media/Downloads/qbittorrent/complete/sonarr/The.Baby.Sitters.Club.2020.S02.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB/The.Baby.Sitters.Club.2020.S02E06.Dawn.and.the.Wicked.Stepsister.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB.mkv,3.89 GiB,4181104631,2026-06-14T22:08:00.306290125-07:00
/media/Downloads/qbittorrent/complete/sonarr/The.Baby.Sitters.Club.2020.S02.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB/The.Baby.Sitters.Club.2020.S02E07.Claudia.and.the.Sad.Goodbye.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB.mkv,3.76 GiB,4033033669,2026-06-14T22:08:00.306290125-07:00
/media/Downloads/qbittorrent/complete/sonarr/The.Baby.Sitters.Club.2020.S02.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB/The.Baby.Sitters.Club.2020.S02E02.Claudia.and.the.New.Girl.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB.mkv,3.73 GiB,4010318823,2026-06-14T22:08:00.306290125-07:00
/media/Downloads/qbittorrent/complete/sonarr/The.Baby.Sitters.Club.2020.S02.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB/The.Baby.Sitters.Club.2020.S02E08.Kristy.and.the.Baby.Parade.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB.mkv,3.65 GiB,3922416004,2026-06-14T22:08:00.306290125-07:00
/media/Downloads/qbittorrent/complete/cross-seed/Blutopia/Dutton.Ranch.S01E05.Peaceful.Find.Peace.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv--1c6ac111/Dutton.Ranch.S01E05.Peaceful.Find.Peace.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv,3.54 GiB,3798753778,2026-06-05T00:03:47.342370173-07:00
/media/Downloads/qbittorrent/complete/cross-seed/DarkPeers/Dutton.Ranch.S01E05.Peaceful.Find.Peace.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv--4bd607e7/Dutton.Ranch.S01E05.Peaceful.Find.Peace.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv,3.54 GiB,3798753778,2026-06-05T00:03:47.342370173-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Dutton.Ranch.S01E05.Peaceful.Find.Peace.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv--5f03fa4c/Dutton.Ranch.S01E05.Peaceful.Find.Peace.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv,3.54 GiB,3798753778,2026-06-05T00:03:47.342370173-07:00
/media/Downloads/qbittorrent/complete/sonarr/Dutton.Ranch.S01E05.Peaceful.Find.Peace.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv,3.54 GiB,3798753778,2026-06-05T00:03:47.342370173-07:00
/media/Downloads/qbittorrent/complete/sonarr/The.Baby.Sitters.Club.2020.S02.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB/The.Baby.Sitters.Club.2020.S02E03.Stacey's.Emergency.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB.mkv,3.43 GiB,3684731614,2026-06-14T22:08:00.306290125-07:00
/media/Downloads/qbittorrent/complete/sonarr/The.Baby.Sitters.Club.2020.S02.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB/The.Baby.Sitters.Club.2020.S02E04.Jessi.and.the.Superbrat.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB.mkv,3.42 GiB,3676487650,2026-06-14T22:08:00.306290125-07:00
/media/Downloads/qbittorrent/complete/sonarr/The.Baby.Sitters.Club.2020.S02.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB/The.Baby.Sitters.Club.2020.S02E05.Mary.Anne.and.the.Great.Romance.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB.mkv,3.41 GiB,3656638580,2026-06-14T22:08:00.306290125-07:00
